Data,TempMax,TempMaxPredicted
1982-02-12,31.2,32.1308
1982-02-13,33.4,33.41405
1982-02-14,34.0,33.6215
1982-02-15,33.0,33.43391
1982-02-16,34.4,33.904896
1982-02-17,34.8,34.01234
1982-02-18,33.4,33.71263
1982-02-21,34.7,33.81371
1982-02-23,34.2,34.280804
1982-02-24,34.2,31.93806
1982-02-25,33.8,32.176426
1982-02-27,34.0,33.60502
1982-02-28,35.2,34.685898
1982-03-01,35.0,34.08527
1982-03-02,34.0,34.456024
1982-03-03,34.3,35.223827
1982-03-04,35.1,34.4826
1982-03-05,34.0,34.2044
1982-03-06,34.3,34.648952
1982-03-07,34.3,34.64534
1982-03-08,33.2,32.652035
1982-03-09,33.7,33.597046
1982-03-10,34.2,34.47024
1982-03-11,35.7,35.104176
1982-03-12,32.7,34.00435
1982-03-13,35.0,34.281536
1982-03-15,34.9,34.621887
1982-03-16,32.6,32.274456
1982-03-17,32.2,32.626545
1982-03-18,35.0,35.69307
1982-03-19,34.9,34.814568
1982-03-20,34.0,33.86974
1982-03-21,34.3,33.728012
1982-03-22,35.4,35.31956
1982-03-23,34.7,32.97413
1982-03-24,33.4,33.658394
1982-03-25,33.8,33.99035
1982-03-27,35.0,34.203674
1982-03-28,34.4,34.934616
1982-03-29,32.0,31.397081
1982-03-30,31.6,30.261633
1982-04-02,34.5,34.375565
1982-04-03,32.8,33.883568
1982-04-07,29.8,30.898298
1982-04-08,30.7,31.675722
1982-04-09,31.8,32.361706
1982-04-10,32.2,32.014057
1982-04-11,32.4,32.44321
1982-04-14,33.7,33.781097
1982-04-15,34.6,33.758404
1982-04-16,34.0,34.341663
1982-04-17,33.9,33.4134
1982-04-18,32.3,32.567585
1982-04-19,34.0,33.877884
1982-04-22,33.1,32.910797
1982-04-23,30.2,30.754072
1982-04-24,31.5,32.50041
1982-04-25,32.8,31.818758
1982-04-26,31.7,33.17426
1982-04-28,33.2,33.874416
1982-04-29,32.5,32.79178
1982-05-01,31.3,32.353188
1982-05-02,31.0,31.827616
1982-05-07,31.2,30.981115
1982-05-08,31.6,31.438076
1982-05-09,31.8,32.219807
1982-05-10,31.7,33.097393
1982-05-11,32.6,33.157833
1982-05-12,31.5,32.447697
1982-05-13,32.2,33.472584
1982-05-14,32.0,32.70328
1982-05-15,30.6,32.76615
1982-05-17,32.9,33.356396
